,age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,X,X.1
1411,37,blue-collar,single,university.degree,no,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no,NA,NA
3028,46,services,married,basic,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no,NA,NA
61,41,admin.,divorced,high.school,yes,no,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
156,35,management,married,university.degree,yes,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no,NA,NA
2371,28,admin.,single,university.degree,no,no,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no,NA,NA
2270,35,services,single,high.school,no,no,telephone,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no,NA,NA
476,46,self-employed,married,university.degree,yes,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no,NA,NA
2789,30,blue-collar,single,professional.course,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
796,35,blue-collar,married,basic,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
1635,29,admin.,married,university.degree,yes,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
176,35,blue-collar,single,professional.course,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,NA,NA
2365,41,blue-collar,single,university.degree,yes,yes,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2641,54,blue-collar,married,basic,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
914,35,admin.,married,university.degree,no,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,NA,NA
2054,45,blue-collar,married,basic,no,no,cellular,jul,tue,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,NA,NA
1996,56,admin.,married,high.school,no,no,cellular,sep,thu,1,999,0,nonexistent,-3.4,92.379,-29.8,0.778,5017.5,no,NA,NA
1614,28,blue-collar,married,basic,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no,NA,NA
2483,39,blue-collar,married,basic,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,NA,NA
1110,30,admin.,married,high.school,yes,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
1065,52,services,single,high.school,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no,NA,NA
2184,42,admin.,married,university.degree,yes,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
284,49,self-employed,single,basic,no,no,telephone,may,mon,10,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no,NA,NA
1695,26,blue-collar,single,professional.course,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,NA,NA
2081,38,self-employed,married,basic,no,no,cellular,may,wed,4,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no,NA,NA
2643,45,services,married,high.school,yes,no,telephone,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,NA,NA
3022,38,blue-collar,divorced,professional.course,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,NA,NA
1871,40,blue-collar,married,university.degree,yes,yes,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no,NA,NA
1181,43,blue-collar,married,professional.course,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no,NA,NA
2563,35,blue-collar,married,professional.course,yes,yes,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
851,29,blue-collar,single,basic,yes,no,cellular,may,fri,9,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no,NA,NA
1112,46,blue-collar,married,professional.course,yes,no,telephone,may,tue,4,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no,NA,NA
2669,31,admin.,married,university.degree,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
2798,43,blue-collar,married,basic,yes,no,telephone,jun,tue,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
2527,26,blue-collar,single,professional.course,yes,no,cellular,apr,fri,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,NA,NA
333,30,blue-collar,married,university.degree,no,no,cellular,jun,fri,1,7,1,success,-1.7,94.055,-39.8,0.748,4991.6,no,NA,NA
1859,33,admin.,single,high.school,no,no,cellular,oct,mon,1,999,0,nonexistent,-3.4,92.431,-26.9,0.731,5017.5,no,NA,NA
2037,29,admin.,single,high.school,no,no,cellular,may,wed,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no,NA,NA
821,34,blue-collar,married,basic,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no,NA,NA
856,34,management,single,high.school,yes,yes,cellular,nov,wed,2,6,1,success,-0.1,93.2,-42,4.12,5195.8,no,NA,NA
2803,29,management,single,university.degree,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,NA,NA
1515,53,blue-collar,married,basic,yes,no,cellular,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,NA,NA
805,55,admin.,married,basic,yes,yes,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
1215,24,blue-collar,single,professional.course,yes,no,cellular,jul,wed,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
1039,42,admin.,single,high.school,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
1619,49,management,married,university.degree,no,no,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,NA,NA
2155,36,blue-collar,married,basic,no,no,cellular,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,NA,NA
425,35,blue-collar,single,university.degree,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
627,35,blue-collar,divorced,basic,no,yes,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,NA,NA
838,29,admin.,married,high.school,no,no,cellular,jul,thu,7,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no,NA,NA
72,43,management,married,professional.course,no,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no,NA,NA
2854,29,blue-collar,single,university.degree,yes,yes,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,NA,NA
216,28,unemployed,single,university.degree,yes,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no,NA,NA
1452,32,management,single,university.degree,yes,no,cellular,mar,mon,2,999,0,nonexistent,-1.8,92.843,-50,1.703,5099.1,no,NA,NA
47,46,services,married,high.school,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,NA,NA
1005,33,management,married,university.degree,yes,no,cellular,may,wed,4,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no,NA,NA
1198,34,blue-collar,married,basic,yes,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,NA,NA
1752,52,unemployed,married,university.degree,no,no,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,no,NA,NA
3003,39,services,divorced,high.school,no,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
1467,37,services,divorced,basic,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,NA,NA
2025,34,blue-collar,married,university.degree,no,yes,cellular,may,fri,4,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,NA,NA
2796,41,blue-collar,married,basic,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,NA,NA
1466,24,blue-collar,single,basic,yes,no,telephone,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
2931,38,blue-collar,married,professional.course,yes,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
271,43,unemployed,married,basic,no,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no,NA,NA
919,27,student,single,professional.course,no,no,telephone,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.245,5195.8,no,NA,NA
2722,56,management,married,university.degree,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,NA,NA
2375,30,admin.,single,university.degree,yes,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2418,28,blue-collar,married,basic,yes,no,cellular,jul,thu,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2356,43,services,married,basic,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
3034,32,blue-collar,married,basic,no,no,telephone,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no,NA,NA
1599,34,blue-collar,married,basic,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no,NA,NA
130,44,blue-collar,married,professional.course,no,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no,NA,NA
1687,50,management,married,university.degree,no,no,cellular,sep,thu,4,999,3,failure,-1.1,94.199,-37.5,0.878,4963.6,no,NA,NA
769,38,services,married,basic,no,yes,telephone,jun,fri,2,999,0,nonexistent,-2.9,92.963,-40.8,1.224,5076.2,no,NA,NA
1751,32,management,married,high.school,no,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,NA,NA
2203,36,admin.,married,high.school,yes,no,cellular,may,tue,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no,NA,NA
511,45,admin.,married,university.degree,no,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
1737,32,admin.,divorced,university.degree,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
2052,28,management,single,university.degree,no,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,NA,NA
2400,33,admin.,married,basic,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
3007,34,admin.,married,university.degree,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no,NA,NA
628,39,admin.,single,high.school,no,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,NA,NA
2487,29,blue-collar,married,basic,no,no,cellular,may,wed,1,6,1,success,-1.8,92.893,-46.2,1.281,5099.1,no,NA,NA
2568,48,admin.,married,high.school,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,NA,NA
2498,32,blue-collar,married,professional.course,yes,yes,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
738,38,blue-collar,married,basic,no,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no,NA,NA
1069,35,admin.,married,high.school,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no,NA,NA
1243,46,self-employed,married,high.school,yes,no,cellular,aug,mon,1,999,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,no,NA,NA
1498,43,management,married,high.school,yes,yes,cellular,nov,mon,3,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
2146,29,admin.,single,high.school,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
689,33,management,married,university.degree,yes,no,cellular,may,tue,6,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no,NA,NA
1887,40,blue-collar,single,basic,yes,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,NA,NA
1611,40,admin.,divorced,professional.course,yes,yes,cellular,aug,fri,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
1022,35,blue-collar,single,basic,no,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,NA,NA
1994,40,management,single,high.school,no,no,cellular,jul,wed,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
1894,49,admin.,married,university.degree,no,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no,NA,NA
725,31,blue-collar,married,basic,yes,no,cellular,nov,wed,5,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no,NA,NA
2288,39,unemployed,married,university.degree,no,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,NA,NA
2531,36,blue-collar,married,basic,no,yes,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,NA,NA
41,29,admin.,single,university.degree,yes,no,telephone,jun,fri,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,NA,NA
781,47,management,married,university.degree,no,no,cellular,apr,mon,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,NA,NA
1820,37,blue-collar,single,professional.course,yes,no,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,no,NA,NA
868,47,services,divorced,basic,yes,no,telephone,jun,fri,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,NA,NA
1595,56,unemployed,married,basic,yes,yes,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no,NA,NA
1403,28,admin.,single,university.degree,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no,NA,NA
1263,35,blue-collar,single,basic,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
1978,22,services,single,high.school,yes,no,telephone,jun,mon,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no,NA,NA
822,29,blue-collar,single,professional.course,yes,yes,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no,NA,NA
704,32,blue-collar,married,high.school,no,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no,NA,NA
1390,47,blue-collar,single,professional.course,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
752,35,blue-collar,married,professional.course,no,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,NA,NA
1389,35,unemployed,married,basic,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
572,35,blue-collar,married,basic,yes,no,cellular,dec,thu,1,4,3,success,-3,92.713,-33,0.707,5023.5,no,NA,NA
35,56,unemployed,married,university.degree,yes,no,cellular,jun,wed,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no,NA,NA
1425,52,services,married,high.school,yes,no,telephone,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no,NA,NA
2640,46,services,married,professional.course,no,no,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
2766,34,self-employed,married,basic,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no,NA,NA
194,30,unemployed,married,high.school,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,NA,NA
1684,34,blue-collar,married,basic,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no,NA,NA
2169,35,self-employed,single,high.school,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no,NA,NA
1146,47,admin.,divorced,university.degree,yes,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
2368,38,blue-collar,single,university.degree,yes,no,telephone,may,tue,12,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,NA,NA
2652,39,admin.,married,university.degree,no,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
253,27,services,married,high.school,no,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
362,30,blue-collar,single,university.degree,no,yes,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
359,27,self-employed,single,university.degree,yes,yes,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,NA,NA
2936,32,management,divorced,university.degree,yes,yes,cellular,may,tue,2,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no,NA,NA
648,23,blue-collar,single,high.school,no,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no,NA,NA
1816,29,blue-collar,single,high.school,yes,yes,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no,NA,NA
2606,52,admin.,divorced,university.degree,yes,yes,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no,NA,NA
2455,39,admin.,divorced,professional.course,yes,yes,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,NA,NA
3032,30,blue-collar,married,basic,no,no,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
756,31,management,married,basic,no,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no,NA,NA
1722,36,admin.,single,university.degree,no,no,cellular,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no,NA,NA
260,42,blue-collar,married,basic,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
2128,39,self-employed,married,high.school,yes,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,NA,NA
350,44,management,divorced,university.degree,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,no,NA,NA
1222,34,blue-collar,single,professional.course,yes,yes,telephone,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,NA,NA
377,39,admin.,married,university.degree,yes,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,NA,NA
1386,35,management,married,university.degree,no,yes,telephone,aug,mon,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
990,31,services,single,high.school,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no,NA,NA
1696,32,admin.,married,high.school,no,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,NA,NA
2008,27,blue-collar,married,basic,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no,NA,NA
313,49,management,married,university.degree,no,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2909,29,services,single,high.school,yes,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no,NA,NA
2443,35,blue-collar,divorced,professional.course,yes,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,NA,NA
120,32,unemployed,married,high.school,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
1454,38,blue-collar,single,high.school,yes,yes,telephone,jun,thu,1,999,0,nonexistent,-1.7,94.055,-39.8,0.729,4991.6,no,NA,NA
1420,47,blue-collar,married,professional.course,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no,NA,NA
1080,39,unemployed,single,high.school,no,no,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,NA,NA
398,35,blue-collar,married,university.degree,yes,no,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,NA,NA
971,35,admin.,single,university.degree,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,NA,NA
2651,41,blue-collar,divorced,university.degree,yes,yes,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,NA,NA
1940,37,blue-collar,married,basic,yes,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no,NA,NA
1245,38,services,married,university.degree,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,NA,NA
1568,29,admin.,single,university.degree,no,no,cellular,aug,tue,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
626,46,blue-collar,married,basic,no,no,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,NA,NA
1384,36,blue-collar,married,high.school,no,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
1159,46,blue-collar,married,professional.course,no,no,cellular,nov,mon,3,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
1133,38,admin.,divorced,university.degree,no,no,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,NA,NA
1307,34,blue-collar,married,professional.course,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,NA,NA
374,30,services,divorced,basic,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no,NA,NA
1997,35,admin.,single,university.degree,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
2560,35,blue-collar,married,basic,no,no,cellular,jul,wed,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
748,42,blue-collar,married,professional.course,yes,yes,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no,NA,NA
2137,48,blue-collar,married,professional.course,no,yes,telephone,oct,tue,2,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,no,NA,NA
2034,49,blue-collar,married,professional.course,yes,yes,telephone,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,NA,NA
2653,27,blue-collar,married,basic,yes,no,telephone,may,mon,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
498,33,management,married,university.degree,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,NA,NA
675,36,blue-collar,married,basic,yes,yes,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no,NA,NA
2857,28,admin.,single,university.degree,no,no,cellular,oct,fri,2,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,no,NA,NA
2248,41,blue-collar,married,basic,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
2518,31,admin.,married,high.school,no,yes,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no,NA,NA
459,39,blue-collar,single,basic,yes,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
210,46,admin.,married,professional.course,no,no,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,NA,NA
1072,28,admin.,single,university.degree,no,no,cellular,aug,wed,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,no,NA,NA
2361,42,blue-collar,married,professional.course,yes,no,cellular,aug,wed,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,no,NA,NA
1472,41,blue-collar,married,professional.course,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
246,42,blue-collar,married,high.school,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,NA,NA
159,41,blue-collar,divorced,basic,yes,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no,NA,NA
1446,32,blue-collar,married,professional.course,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no,NA,NA
2042,52,admin.,divorced,high.school,yes,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no,NA,NA
437,44,blue-collar,married,high.school,no,no,cellular,apr,mon,2,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1,no,NA,NA
2478,35,admin.,married,high.school,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,no,NA,NA
1140,27,admin.,single,high.school,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
1804,31,admin.,married,high.school,no,no,cellular,may,thu,2,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no,NA,NA
960,30,admin.,married,university.degree,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
1745,35,blue-collar,single,university.degree,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,NA,NA
2442,27,student,single,high.school,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no,NA,NA
2154,53,blue-collar,married,professional.course,yes,no,cellular,aug,thu,1,999,1,failure,-2.9,92.201,-31.4,0.883,5076.2,no,NA,NA
360,29,blue-collar,married,professional.course,no,no,telephone,may,wed,8,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no,NA,NA
1444,35,self-employed,single,basic,yes,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
768,32,blue-collar,single,basic,yes,no,telephone,jun,mon,17,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
2232,45,services,married,professional.course,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
